name,industry,role,skill,exp_years,exp_level
User_165,Finance,Product Manager,Tableau,1,Entry
User_166,Design,Business Analyst,Machine Learning,5,Mid
User_167,Healthcare,Backend Developer,Python,19,Senior
User_168,Technology,Frontend Developer,Excel,12,Senior
User_169,Marketing,Designer,Figma,18,Senior
User_170,Design,Designer,Figma,6,Mid
User_171,Healthcare,Data Scientist,Tableau,18,Senior
User_172,Data Science,Product Manager,Java,19,Senior
User_173,Marketing,Backend Developer,Docker,6,Mid
User_174,Technology,Product Manager,TensorFlow,16,Senior
User_175,Technology,Backend Developer,Python,5,Mid
User_176,Design,ML Engineer,Tableau,11,Senior
User_177,Design,Backend Developer,Machine Learning,15,Senior
User_178,Data Science,Business Analyst,Node.js,4,Mid
User_179,Marketing,Product Manager,React,19,Senior
User_180,Technology,Data Scientist,Docker,16,Senior
User_181,Data Science,Frontend Developer,Python,2,Entry
User_182,Technology,Product Manager,TensorFlow,9,Senior
User_183,Data Science,Designer,AWS,7,Mid
User_184,Finance,Designer,SQL,7,Mid
User_185,Finance,Designer,Java,4,Mid
User_186,Technology,Designer,Node.js,16,Senior
User_187,Technology,Software Engineer,Machine Learning,19,Senior
User_188,Design,Designer,React,5,Mid
User_189,Finance,Product Manager,Machine Learning,14,Senior
User_190,Technology,Data Scientist,Tableau,17,Senior
User_191,Healthcare,Business Analyst,Machine Learning,0,Entry
User_192,Data Science,Software Engineer,Java,14,Senior
User_193,Technology,Product Manager,Machine Learning,16,Senior
User_194,Design,Software Engineer,Java,8,Senior
User_195,Healthcare,Frontend Developer,Python,15,Senior
User_196,Data Science,Designer,Python,4,Mid
User_197,Design,ML Engineer,React,4,Mid
User_198,Design,Business Analyst,Tableau,9,Senior
User_199,Healthcare,Software Engineer,Machine Learning,13,Senior
User_200,Technology,ML Engineer,Python,18,Senior
